id,prefecture_id,name_kanji,name_kana
177,1,中標津町,ナカシベツチョウ
178,1,標津町,シベツチョウ
179,1,羅臼町,ラウスチョウ
180,1,色丹村,シコタンムラ
181,1,泊村,トマリムラ
182,1,留夜別村,ルヤベツムラ
183,1,留別村,ルベツムラ
184,1,紗那村,シャナムラ
185,1,蘂取村,シベトロムラ
186,2,青森市,アオモリシ
187,2,弘前市,ヒロサキシ
188,2,八戸市,ハチノヘシ
189,2,黒石市,クロイシシ
190,2,五所川原市,ゴショガワラシ
191,2,十和田市,トワダシ
192,2,三沢市,ミサワシ
193,2,むつ市,ムツシ
194,2,つがる市,ツガルシ
195,2,平川市,ヒラカワシ
196,2,平内町,ヒラナイマチ
197,2,今別町,イマベツマチ
198,2,蓬田村,ヨモギタムラ
199,2,外ヶ浜町,ソトガハママチ
200,2,鰺ヶ沢町,アジガサワマチ
201,2,深浦町,フカウラマチ
202,2,西目屋村,ニシメヤムラ
203,2,藤崎町,フジサキマチ
204,2,大鰐町,オオワニマチ
205,2,田舎館村,イナカダテムラ
206,2,板柳町,イタヤナギマチ
207,2,鶴田町,ツルタマチ
208,2,中泊町,ナカドマリマチ
209,2,野辺地町,ノヘジマチ
210,2,七戸町,シチノヘマチ
211,2,六戸町,ロクノヘマチ
212,2,横浜町,ヨコハママチ
213,2,東北町,トウホクマチ
214,2,六ヶ所村,ロッカショムラ
215,2,おいらせ町,オイラセチョウ
216,2,大間町,オオママチ
217,2,東通村,ヒガシドオリムラ
218,2,風間浦村,カザマウラムラ
219,2,佐井村,サイムラ
220,2,三戸町,サンノヘマチ
221,2,五戸町,ゴノヘマチ
222,2,田子町,タッコマチ
223,2,南部町,ナンブチョウ
224,2,階上町,ハシカミチョウ
225,2,新郷村,シンゴウムラ
226,3,盛岡市,モリオカシ
227,3,宮古市,ミヤコシ
228,3,大船渡市,オオフナトシ
229,3,花巻市,ハナマキシ
230,3,北上市,キタカミシ
231,3,久慈市,クジシ
232,3,遠野市,トオノシ
233,3,一関市,イチノセキシ
234,3,陸前高田市,リクゼンタカタシ
235,3,釜石市,カマイシシ
236,3,二戸市,ニノヘシ
237,3,八幡平市,ハチマンタイシ
238,3,奥州市,オウシュウシ
239,3,滝沢市,タキザワシ
240,3,雫石町,シズクイシチョウ
241,3,葛巻町,クズマキマチ
242,3,岩手町,イワテマチ
243,3,紫波町,シワチョウ
244,3,矢巾町,ヤハバチョウ
245,3,西和賀町,ニシワガマチ
246,3,金ケ崎町,カネガサキチョウ
247,3,平泉町,ヒライズミチョウ
248,3,住田町,スミタチョウ
249,3,大槌町,オオツチチョウ
250,3,山田町,ヤマダマチ
251,3,岩泉町,イワイズミチョウ
252,3,田野畑村,タノハタムラ
253,3,普代村,フダイムラ
254,3,軽米町,カルマイマチ
255,3,野田村,ノダムラ
256,3,九戸村,クノヘムラ
257,3,洋野町,ヒロノチョウ
258,3,一戸町,イチノヘマチ
259,4,仙台市,センダイシ
260,4,石巻市,イシノマキシ
261,4,塩竈市,シオガマシ
262,4,気仙沼市,ケセンヌマシ
263,4,白石市,シロイシシ
264,4,名取市,ナトリシ
265,4,角田市,カクダシ
266,4,多賀城市,タガジョウシ
267,4,岩沼市,イワヌマシ
268,4,登米市,トメシ
269,4,栗原市,クリハラシ
270,4,東松島市,ヒガシマツシマシ
271,4,大崎市,オオサキシ
272,4,富谷市,トミヤシ
273,4,蔵王町,ザオウマチ
274,4,七ヶ宿町,シチカシュクマチ
275,4,大河原町,オオガワラマチ
276,4,村田町,ムラタマチ
277,4,柴田町,シバタマチ
278,4,川崎町,カワサキマチ
279,4,丸森町,マルモリマチ
280,4,亘理町,ワタリチョウ
281,4,山元町,ヤマモトチョウ
282,4,松島町,マツシママチ
283,4,七ヶ浜町,シチガハママチ
284,4,利府町,リフチョウ
285,4,大和町,タイワチョウ
286,4,大郷町,オオサトチョウ
287,4,大衡村,オオヒラムラ
288,4,色麻町,シカマチョウ
289,4,加美町,カミマチ
290,4,涌谷町,ワクヤチョウ
291,4,美里町,ミサトマチ
292,4,女川町,オナガワチョウ
293,4,南三陸町,ミナミサンリクチョウ
294,5,秋田市,アキタシ
295,5,能代市,ノシロシ
296,5,横手市,ヨコテシ
297,5,大館市,オオダテシ
